"","gene","Expression_Score","Biology_Score","Druggability_Score","Complement_Evidence","Innate_Sensing_Evidence","Myeloid_Receptor_Evidence","Lupus_Evidence","Known_Target","AI_Target_Score","Target_Class","GWAS_Evidence","Novelty_Score","AI_Target_Score_v2"
"15","ADAP2",37.7130264338328,0,0,0,0,0,0,0,0.940487549694967,"Other",0,0,0.940487549694967
"33","NCF2",36.3671921553814,0,0,0,0,0,0,0,0.899232509522814,"Other",0,0,0.899232509522814
"148","STAB1",35.6004639245753,0,0,0,0,0,0,0,0.87572931565304,"Other",0,0,0.87572931565304
"34","TNFAIP2",35.1927987069883,0,0,0,0,0,0,0,0.863232795689457,"Other",0,0,0.863232795689457
"134","SERPING1",34.9469562151151,0,0,0,0,0,0,0,0.8556967698647,"Other",0,0,0.8556967698647
"32","SPI1",34.8572097530339,0,0,0,0,0,0,0,0.852945692738974,"Other",0,0,0.852945692738974
"27","TCF7L2",33.0406533473992,0,0,0,0,0,0,0,0.797261193771036,"Other",0,0,0.797261193771036
"163","OSCAR",33.0240078326376,0,0,0,0,0,0,0,0.796750944187434,"Other",0,0,0.796750944187434
"69","FMNL2",31.7479980957025,0,0,0,0,0,0,0,0.75763629701268,"Other",0,0,0.75763629701268
"113","MYOF",31.622230196756,0,0,0,0,0,0,0,0.7537810231454,"Other",0,0,0.7537810231454
"59","MSR1",31.1580063025903,0,0,0,0,0,0,0,0.739550760393646,"Other",0,0,0.739550760393646
"159","PAPSS2",31.0965640948209,0,0,0,0,0,0,0,0.737667318434722,"Other",0,0,0.737667318434722
"47","IGSF6",30.9456689858973,0,0,0,0,0,0,0,0.733041798130999,"Other",0,0,0.733041798130999
"84","RIN2",30.1577019264368,0,0,0,0,0,0,0,0.7088875517926,"Other",0,0,0.7088875517926
"155","KCNE3",29.1692577284538,0,0,0,0,0,0,0,0.678587903649707,"Other",0,0,0.678587903649707
"167","PPM1N",28.5213147492758,0,0,0,0,0,0,0,0.658725938426167,"Other",0,0,0.658725938426167
"141","FPR3",26.9481341989542,0,0,0,0,0,0,0,0.610501853306081,"Other",0,0,0.610501853306081
"46","SLC31A2",26.8141619465622,0,0,0,0,0,0,0,0.606395084186821,"Other",0,0,0.606395084186821
"68","CTSL",26.2633778268907,0,0,0,0,0,0,0,0.589511414817529,"Other",0,0,0.589511414817529
"13","HCK",25.8507207068052,0,0,0,0,0,0,0,0.576861873682316,"Other",0,0,0.576861873682316
"64","SLC8A1",25.7075363573137,0,0,0,0,0,0,0,0.572472718059759,"Other",0,0,0.572472718059759
"43","C1QB",25.4313868479341,0,0,0,0,0,0,0,0.564007664608984,"Other",0,0,0.564007664608984
"89","EMILIN2",25.2338235786328,0,0,0,0,0,0,0,0.557951584196953,"Other",0,0,0.557951584196953
"58","KLF4",25.0427719040319,0,0,0,0,0,0,0,0.552095109416355,"Other",0,0,0.552095109416355
"123","CLEC12A",25.0313749985309,0,0,0,0,0,0,0,0.551745750062229,"Other",0,0,0.551745750062229
"104","PDK4",24.9853147336014,0,0,0,0,0,0,0,0.550333824307007,"Other",0,0,0.550333824307007
"129","SIRPA",24.7486438736652,0,0,0,0,0,0,0,0.543078944571381,"Other",0,0,0.543078944571381
"86","IRAK3",23.5626849189028,0,0,0,0,0,0,0,0.506724703113401,"Other",0,0,0.506724703113401
"139","MCTP1",23.4812077984724,0,0,0,0,0,0,0,0.504227113380188,"Other",0,0,0.504227113380188
"187","TAGLN",23.2924829179839,0,0,0,0,0,0,0,0.498441963863119,"Other",0,0,0.498441963863119
"20","SERPINA1",22.4156766334513,0,0,0,0,0,0,0,0.47156445073185,"Other",0,0,0.47156445073185
"72","RRAS",22.3577415010817,0,0,0,0,0,0,0,0.469788514235392,"Other",0,0,0.469788514235392
"40","CXCL16",22.2950482064017,0,0,0,0,0,0,0,0.46786672161058,"Other",0,0,0.46786672161058
"119","BEST1",22.1742512453992,0,0,0,0,0,0,0,0.464163826270026,"Other",0,0,0.464163826270026
"109","RNF144B",22.0398516395555,0,0,0,0,0,0,0,0.460043957110071,"Other",0,0,0.460043957110071
"114","CEBPA",22.0275419750082,0,0,0,0,0,0,0,0.459666618151229,"Other",0,0,0.459666618151229
